,Simulation#,Function,Method,time,rounds,FoundMinLoc,TrueMinLoc,FoundMinVal,TrueMinVal
18,18,Ackley,PSO,0.07365584373474121,43,[-0.0006068   0.00068128],"[0, 0]",0.0026026412266375587,0.0
19,19,Ackley,PSO,0.3498239517211914,214,[3.72425101e-11 1.83888694e-11],"[0, 0]",1.1748113593057496e-10,0.0
20,20,Ackley,PSO,0.3515148162841797,190,[-5.31182589e-10  2.56841815e-11],"[0, 0]",1.50416568089895e-09,0.0
21,21,Ackley,PSO,0.06316399574279785,38,[0.00234293 0.00101734],"[0, 0]",0.007398279585526524,0.0
22,22,Ackley,PSO,0.2932548522949219,183,[-9.17994198e-10  9.57964123e-11],"[0, 0]",2.6105766437467537e-09,0.0
23,23,Ackley,PSO,0.1983635425567627,127,[2.90352771e-07 9.75163512e-08],"[0, 0]",8.663242390127834e-07,0.0
24,24,Ackley,PSO,0.39809370040893555,208,[ 9.52608629e-11 -1.13229571e-10],"[0, 0]",4.18527434931093e-10,0.0
25,25,Ackley,PSO,0.11470198631286621,72,[ 5.07961486e-05 -1.02710673e-04],"[0, 0]",0.00032444505356821196,0.0
26,26,Ackley,PSO,0.03920173645019531,24,[-0.00669103 -0.01307233],"[0, 0]",0.04726975006542489,0.0
27,27,Ackley,PSO,0.25481367111206055,160,[-2.31574496e-09  6.95005305e-10],"[0, 0]",6.8385439533358294e-09,0.0
28,28,Ackley,PSO,0.3256497383117676,205,[3.62078168e-10 1.68275471e-11],"[0, 0]",1.025217244432497e-09,0.0
29,29,Ackley,PSO,0.17214059829711914,110,[-3.30155869e-06 -2.20474265e-06],"[0, 0]",1.122937509379085e-05,0.0
30,30,Ackley,PSO,0.242997407913208,154,[-1.55754902e-08  2.28170883e-08],"[0, 0]",7.813914848497916e-08,0.0
31,31,Ackley,PSO,0.17335057258605957,110,[-1.10532372e-07 -1.52330241e-06],"[0, 0]",4.319939563401931e-06,0.0
32,32,Ackley,PSO,0.3274209499359131,210,[7.98949496e-11 1.38394655e-10],"[0, 0]",4.5198333964435733e-10,0.0
33,33,Ackley,PSO,0.3532557487487793,219,[9.92159686e-11 7.06246544e-11],"[0, 0]",3.4446046015546017e-10,0.0
34,34,Ackley,PSO,0.30075764656066895,192,[1.63982020e-12 1.97236501e-10],"[0, 0]",5.578897344094003e-10,0.0
35,35,Ackley,PSO,0.27427124977111816,174,[ 2.61485642e-10 -2.46507883e-10],"[0, 0]",1.0164278307911445e-09,0.0
36,36,Ackley,PSO,0.0974581241607666,60,[-0.00034709  0.00016911],"[0, 0]",0.001096021634857891,0.0
37,37,Ackley,PSO,0.15349054336547852,95,[1.47729983e-05 4.87409745e-06],"[0, 0]",4.4006289957820854e-05,0.0
38,38,Ackley,PSO,0.13111424446105957,81,[-1.11711113e-05  6.09897337e-06],"[0, 0]",3.600333619857565e-05,0.0
39,39,Ackley,PSO,0.19414925575256348,108,[ 8.8891665e-07 -8.6856825e-07],"[0, 0]",3.5152465187593407e-06,0.0
40,40,Ackley,PSO,0.29320645332336426,181,[-5.52410354e-10  4.56048008e-10],"[0, 0]",2.026105505592568e-09,0.0
41,41,Ackley,PSO,0.33542561531066895,215,[-2.87138685e-10 -1.20820076e-10],"[0, 0]",8.811156249066698e-10,0.0
42,42,Ackley,PSO,0.14142584800720215,88,[-5.48513491e-06 -3.43452976e-06],"[0, 0]",1.830580311334984e-05,0.0
43,43,Ackley,PSO,0.3240165710449219,207,[-8.98414097e-12 -5.42479913e-12],"[0, 0]",2.9686475500056986e-11,0.0
44,44,Ackley,PSO,0.3521392345428467,217,[-3.61480567e-10  9.83843238e-11],"[0, 0]",1.0596146182706434e-09,0.0
45,45,Ackley,PSO,0.35793066024780273,202,[-2.45234923e-10  1.01150105e-10],"[0, 0]",7.503153653942718e-10,0.0
46,46,Ackley,PSO,0.3466792106628418,218,[ 5.91035087e-11 -1.13008628e-10],"[0, 0]",3.6071057252229366e-10,0.0
47,47,Ackley,PSO,0.2748293876647949,175,[1.10145004e-09 3.49916313e-11],"[0, 0]",3.1169413716725103e-09,0.0
48,48,Ackley,PSO,0.35069990158081055,220,[ 7.24019115e-11 -8.59727210e-11],"[0, 0]",3.17911030833784e-10,0.0
49,49,Ackley,PSO,0.3176305294036865,205,[-6.49160848e-12 -3.54002787e-11],"[0, 0]",1.0179590503867075e-10,0.0
50,0,Ackley,PSO_Par,0.763869047164917,212,[-4.83999599e-11 -5.81154202e-11],"[0, 0]",2.1391599602793576e-10,0.0
51,1,Ackley,PSO_Par,0.2942166328430176,83,[8.25626087e-06 1.68197195e-06],"[0, 0]",2.3833780570470253e-05,0.0
52,2,Ackley,PSO_Par,0.7786855697631836,213,[-9.28549640e-11  3.41455844e-10],"[0, 0]",1.000856286736962e-09,0.0
53,3,Ackley,PSO_Par,0.7960085868835449,223,[-3.01717222e-11 -6.98150938e-12],"[0, 0]",8.759570846450515e-11,0.0
54,4,Ackley,PSO_Par,0.617868185043335,172,[ 7.06637843e-10 -7.89149534e-11],"[0, 0]",2.0110988430133148e-09,0.0
55,5,Ackley,PSO_Par,0.7161176204681396,199,[-1.56386594e-11  1.83071451e-12],"[0, 0]",4.453681867744308e-11,0.0
56,6,Ackley,PSO_Par,0.6149468421936035,171,[ 1.53918005e-08 -2.12505331e-10],"[0, 0]",4.353874061280294e-08,0.0
57,7,Ackley,PSO_Par,0.5064277648925781,142,[2.33835488e-07 2.29136039e-07],"[0, 0]",9.259936071259744e-07,0.0
58,8,Ackley,PSO_Par,0.6820082664489746,190,[-1.66792976e-11  9.46459603e-11],"[0, 0]",2.7182522899238393e-10,0.0
59,9,Ackley,PSO_Par,0.7125318050384521,195,[4.80951263e-11 9.99032354e-13],"[0, 0]",1.3606182847070158e-10,0.0
60,10,Ackley,PSO_Par,0.5010411739349365,137,[ 2.40427830e-08 -1.26757188e-08],"[0, 0]",7.687546244028454e-08,0.0
61,11,Ackley,PSO_Par,0.745598316192627,204,[-3.70117140e-10  9.68464583e-11],"[0, 0]",1.0820926377164142e-09,0.0
62,12,Ackley,PSO_Par,0.6837713718414307,188,[-1.32575424e-11  3.80788468e-10],"[0, 0]",1.0776837200410228e-09,0.0
63,13,Ackley,PSO_Par,0.6571648120880127,180,[-1.09013947e-10  6.43645361e-11],"[0, 0]",3.580709062589449e-10,0.0
64,14,Ackley,PSO_Par,0.49871015548706055,135,[3.41251710e-07 3.72526535e-08],"[0, 0]",9.709428496762484e-07,0.0
65,15,Ackley,PSO_Par,0.7811257839202881,215,[3.34096302e-11 3.09434884e-11],"[0, 0]",1.2880008171123336e-10,0.0
66,16,Ackley,PSO_Par,0.7941062450408936,218,[-7.90101452e-11 -8.84097486e-11],"[0, 0]",3.353690658514097e-10,0.0
67,17,Ackley,PSO_Par,0.7174861431121826,197,[-6.73982093e-11  6.57127967e-10],"[0, 0]",1.8683898872495774e-09,0.0
68,18,Ackley,PSO_Par,0.36685752868652344,101,[-1.38806072e-06  2.39435389e-06],"[0, 0]",7.828175924373681e-06,0.0
69,19,Ackley,PSO_Par,0.7462449073791504,208,[-1.78194730e-12  9.57909723e-11],"[0, 0]",2.70986788564187e-10,0.0
70,20,Ackley,PSO_Par,0.32877039909362793,92,[-5.28624052e-07 -1.87971854e-07],"[0, 0]",1.586896676286642e-06,0.0
71,21,Ackley,PSO_Par,0.7830538749694824,219,[1.46274718e-11 5.94988175e-12],"[0, 0]",4.46647163698799e-11,0.0
72,22,Ackley,PSO_Par,0.7266309261322021,201,[-2.84062806e-11  4.30978799e-10],"[0, 0]",1.2216361255923402e-09,0.0
73,23,Ackley,PSO_Par,0.7389631271362305,204,[ 5.01309646e-11 -7.57722921e-11],"[0, 0]",2.5697488581499783e-10,0.0
74,24,Ackley,PSO_Par,0.7374064922332764,204,[ 3.04869656e-11 -1.64495278e-11],"[0, 0]",9.798029054763902e-11,0.0
75,25,Ackley,PSO_Par,0.7323439121246338,199,[-1.53568272e-10  1.82419800e-11],"[0, 0]",4.374101081339177e-10,0.0
76,26,Ackley,PSO_Par,0.69954514503479,192,[8.88204932e-11 2.03321247e-10],"[0, 0]",6.275584496506781e-10,0.0
77,27,Ackley,PSO_Par,0.6942794322967529,192,[-5.54808131e-10 -2.33951647e-10],"[0, 0]",1.7030430399245233e-09,0.0
78,28,Ackley,PSO_Par,0.8017449378967285,218,[-9.25106021e-11 -3.55283449e-10],"[0, 0]",1.0384013648945256e-09,0.0
79,29,Ackley,PSO_Par,0.7006831169128418,190,[ 2.19748605e-10 -1.42400541e-10],"[0, 0]",7.406342206195404e-10,0.0
80,30,Ackley,PSO_Par,0.7381095886230469,205,[-1.91144101e-10 -3.46941273e-11],"[0, 0]",5.494698029906431e-10,0.0
81,31,Ackley,PSO_Par,0.7521078586578369,209,[-6.92934080e-11 -6.45470146e-11],"[0, 0]",2.6784974238580617e-10,0.0
82,32,Ackley,PSO_Par,0.6861803531646729,189,[2.63897053e-11 2.74726112e-10],"[0, 0]",7.806200130744401e-10,0.0
83,33,Ackley,PSO_Par,0.7346198558807373,201,[-1.67482817e-11  1.03378704e-10],"[0, 0]",2.9621105568367057e-10,0.0
84,34,Ackley,PSO_Par,0.7844383716583252,216,[-1.73500560e-11 -1.07583435e-10],"[0, 0]",3.0822633334537386e-10,0.0
85,35,Ackley,PSO_Par,0.7366509437561035,204,[1.44198712e-10 1.86218982e-10],"[0, 0]",6.661586837708455e-10,0.0
86,36,Ackley,PSO_Par,0.790961503982544,218,[-2.73287749e-11  7.07120035e-11],"[0, 0]",2.1442048137032543e-10,0.0
87,37,Ackley,PSO_Par,0.7438845634460449,205,[2.64922098e-10 4.47806617e-11],"[0, 0]",7.599432194638212e-10,0.0
88,38,Ackley,PSO_Par,0.7565417289733887,210,[-5.15691548e-11 -1.22792692e-11],"[0, 0]",1.4993872810009634e-10,0.0
89,39,Ackley,PSO_Par,0.3135693073272705,87,[1.11076277e-06 3.46993625e-07],"[0, 0]",3.2914777072790002e-06,0.0
90,40,Ackley,PSO_Par,0.735938310623169,206,[ 8.95832896e-11 -2.00126817e-11],"[0, 0]",2.59625210219383e-10,0.0
91,41,Ackley,PSO_Par,0.789578914642334,219,[ 2.80409180e-10 -6.98474368e-11],"[0, 0]",8.173515197995584e-10,0.0
92,42,Ackley,PSO_Par,0.7420337200164795,207,[-1.50519946e-13  3.69631866e-11],"[0, 0]",1.0454925813974114e-10,0.0
93,43,Ackley,PSO_Par,0.7023134231567383,195,[-7.91598373e-11  4.11700420e-10],"[0, 0]",1.185792797286922e-09,0.0
94,44,Ackley,PSO_Par,0.42447519302368164,120,[-6.17718227e-07 -7.22459010e-07],"[0, 0]",2.688552026341995e-06,0.0
95,45,Ackley,PSO_Par,0.425274133682251,119,[-8.80635259e-07 -4.48944211e-08],"[0, 0]",2.4940679637097674e-06,0.0
96,46,Ackley,PSO_Par,0.31412529945373535,87,[-3.03048555e-05  3.42467550e-05],"[0, 0]",0.00012939939833245262,0.0
97,47,Ackley,PSO_Par,0.6955537796020508,193,[-1.97841569e-10  1.20778820e-10],"[0, 0]",6.556142295721656e-10,0.0
98,48,Ackley,PSO_Par,0.729363203048706,203,[ 1.02685011e-10 -4.63101477e-10],"[0, 0]",1.3416610045169364e-09,0.0
99,49,Ackley,PSO_Par,0.8429977893829346,236,[ 9.96404562e-12 -1.27036195e-11],"[0, 0]",4.566658162730164e-11,0.0
100,0,Ackley,QPSO,0.23428606986999512,145,[-6.48364942e-11 -3.84611080e-11],"[0, 0]",2.1322321686056966e-10,0.0
101,1,Ackley,QPSO,0.2379450798034668,146,[-1.37129307e-11  4.45565347e-12],"[0, 0]",4.078160031895095e-11,0.0
102,2,Ackley,QPSO,0.24602317810058594,152,[3.67301643e-09 5.65412639e-09],"[0, 0]",1.9070437673462948e-08,0.0
103,3,Ackley,QPSO,0.24198579788208008,149,[-8.30011735e-11 -2.54144511e-11],"[0, 0]",2.45520936914545e-10,0.0
104,4,Ackley,QPSO,0.2418067455291748,149,[ 7.32738308e-11 -4.35124313e-11],"[0, 0]",2.410374122518988e-10,0.0
105,5,Ackley,QPSO,0.10804438591003418,66,[-1.33788811e-05 -5.74546888e-07],"[0, 0]",3.788084290690108e-05,0.0
106,6,Ackley,QPSO,0.24273085594177246,150,[-2.61274959e-12  6.91860093e-12],"[0, 0]",2.091837814077735e-11,0.0
107,7,Ackley,QPSO,0.06799125671386719,41,[8.94004267e-05 1.58135480e-05],"[0, 0]",0.0002570074061942762,0.0
108,8,Ackley,QPSO,0.24166059494018555,148,[ 2.02776501e-12 -8.38819624e-13],"[0, 0]",6.206590796864475e-12,0.0
109,9,Ackley,QPSO,0.10340476036071777,64,[6.16493635e-06 3.87213085e-06],"[0, 0]",2.059264000209282e-05,0.0
110,10,Ackley,QPSO,0.234816312789917,144,[-8.49381384e-12  5.42602691e-11],"[0, 0]",1.553388528918731e-10,0.0
111,11,Ackley,QPSO,0.25411534309387207,157,[ 3.69108485e-11 -5.42464351e-11],"[0, 0]",1.8558310443950177e-10,0.0
112,12,Ackley,QPSO,0.2460622787475586,152,[ 3.97053759e-11 -2.72854888e-11],"[0, 0]",1.3626433315039321e-10,0.0
113,13,Ackley,QPSO,0.1307237148284912,78,[ 4.22915775e-06 -8.13291114e-07],"[0, 0]",1.2181534138733241e-05,0.0
114,14,Ackley,QPSO,0.2556452751159668,155,[-1.14629138e-11 -2.07035933e-11],"[0, 0]",6.693667842228024e-11,0.0
115,15,Ackley,QPSO,0.23518753051757812,146,[ 4.28012515e-12 -2.15737976e-11],"[0, 0]",6.221156922947557e-11,0.0
116,16,Ackley,QPSO,0.25325894355773926,157,[-3.43688928e-12  1.28405631e-11],"[0, 0]",3.75948161490669e-11,0.0
117,17,Ackley,QPSO,0.27379822731018066,166,[ 1.72646617e-11 -3.79072419e-11],"[0, 0]",1.178150910163822e-10,0.0
118,18,Ackley,QPSO,0.25928473472595215,162,[ 8.50098953e-12 -4.93147486e-12],"[0, 0]",2.779643182293512e-11,0.0
119,19,Ackley,QPSO,0.24633240699768066,153,[2.06620235e-11 2.16183251e-11],"[0, 0]",8.458300726488233e-11,0.0
120,20,Ackley,QPSO,0.09625983238220215,58,[1.82832904e-06 4.72175347e-06],"[0, 0]",1.4322063318417122e-05,0.0
121,21,Ackley,QPSO,0.23115181922912598,141,[-3.11527158e-12 -1.56447606e-12],"[0, 0]",9.86233317235019e-12,0.0
122,22,Ackley,QPSO,0.22429203987121582,139,[ 4.93607541e-11 -3.28683070e-11],"[0, 0]",1.6773071820352925e-10,0.0
123,23,Ackley,QPSO,0.2308347225189209,141,[6.67636817e-10 5.64465341e-10],"[0, 0]",2.472827276278622e-09,0.0
124,24,Ackley,QPSO,0.21942663192749023,134,[ 2.33473990e-11 -1.06866791e-11],"[0, 0]",7.262457302203984e-11,0.0
125,25,Ackley,QPSO,0.1554722785949707,96,[-1.57807764e-08 -3.24829948e-07],"[0, 0]",9.198442292301934e-07,0.0
126,26,Ackley,QPSO,0.09307694435119629,55,[ 1.15607351e-06 -8.44625016e-06],"[0, 0]",2.4114280250842057e-05,0.0
127,27,Ackley,QPSO,0.2351856231689453,144,[5.76012029e-11 8.29210660e-12],"[0, 0]",1.64600777452506e-10,0.0
128,28,Ackley,QPSO,0.23872947692871094,151,[-2.43024417e-11 -2.15729688e-11],"[0, 0]",9.191225558424776e-11,0.0
129,29,Ackley,QPSO,0.18870925903320312,114,[9.03228882e-09 1.61225358e-08],"[0, 0]",5.226995369866927e-08,0.0
130,30,Ackley,QPSO,0.09404587745666504,57,[-9.49403310e-06  3.88898656e-05],"[0, 0]",0.00011327017230300385,0.0
131,31,Ackley,QPSO,0.236785888671875,146,[-1.19933672e-11  3.51188922e-11],"[0, 0]",1.049649256401608e-10,0.0
132,32,Ackley,QPSO,0.22975945472717285,142,[-4.15990457e-13 -3.07219372e-11],"[0, 0]",8.690292929713905e-11,0.0
133,33,Ackley,QPSO,0.22615480422973633,138,[-3.98052454e-11 -6.90319126e-11],"[0, 0]",2.2538770849678258e-10,0.0
134,34,Ackley,QPSO,0.07136702537536621,43,[-0.00015983 -0.00027643],"[0, 0]",0.0009058620272597295,0.0
135,35,Ackley,QPSO,0.12164688110351562,75,[-1.49480974e-07  3.47407499e-06],"[0, 0]",9.835581643358182e-06,0.0
136,36,Ackley,QPSO,0.2579054832458496,161,[1.73261018e-11 1.26144848e-11],"[0, 0]",6.061640078769415e-11,0.0
137,37,Ackley,QPSO,0.10936403274536133,67,[ 9.39535619e-07 -1.93204664e-06],"[0, 0]",6.076655740372416e-06,0.0
138,38,Ackley,QPSO,0.23877406120300293,148,[-4.62678729e-12  6.70914513e-11],"[0, 0]",1.9021584307665762e-10,0.0
139,39,Ackley,QPSO,0.25790953636169434,156,[ 1.46672491e-11 -3.07557048e-12],"[0, 0]",4.2387426901768777e-11,0.0
140,40,Ackley,QPSO,0.2371821403503418,147,[-1.50018812e-11 -2.11141818e-11],"[0, 0]",7.326050877054513e-11,0.0
141,41,Ackley,QPSO,0.2296886444091797,143,[-7.4031893e-11  5.3987808e-11],"[0, 0]",2.5915980472746014e-10,0.0
142,42,Ackley,QPSO,0.19961094856262207,122,[-6.05284662e-09 -3.14843095e-09],"[0, 0]",1.9297580422517058e-08,0.0
143,43,Ackley,QPSO,0.07573533058166504,46,[ 5.01390038e-06 -8.62199468e-05],"[0, 0]",0.0002444774526928484,0.0
144,44,Ackley,QPSO,0.24262189865112305,148,[-6.62159757e-12 -9.32163182e-13],"[0, 0]",1.8914647625933867e-11,0.0
145,45,Ackley,QPSO,0.23110437393188477,147,[3.63313866e-12 1.81257697e-11],"[0, 0]",5.228883992458577e-11,0.0
146,46,Ackley,QPSO,0.06687760353088379,41,[0.0007083  0.00018184],"[0, 0]",0.002082594109570124,0.0
147,47,Ackley,QPSO,0.20183825492858887,124,[-3.71914045e-10  1.91682737e-10],"[0, 0]",1.1834266899768409e-09,0.0
148,48,Ackley,QPSO,0.1526930332183838,93,[3.15401327e-08 3.65229442e-08],"[0, 0]",1.3649051311404037e-07,0.0
149,49,Ackley,QPSO,0.2662088871002197,163,[-3.54085228e-12  1.32048971e-11],"[0, 0]",3.866773568006465e-11,0.0
150,0,Ackley,QPSO_Par,0.5355160236358643,145,[-1.49450893e-10  7.83450746e-11],"[0, 0]",4.772715556100593e-10,0.0
151,1,Ackley,QPSO_Par,0.24927616119384766,68,[7.09209377e-07 3.65958016e-06],"[0, 0]",1.054380583198622e-05,0.0
152,2,Ackley,QPSO_Par,0.5344564914703369,142,[ 6.15627285e-12 -2.15569144e-12],"[0, 0]",1.8449242134011e-11,0.0
153,3,Ackley,QPSO_Par,0.6145956516265869,163,[-6.35699335e-12 -5.12766363e-12],"[0, 0]",2.3099744339560857e-11,0.0
154,4,Ackley,QPSO_Par,0.3089761734008789,81,[-2.70404077e-07 -9.11486726e-07],"[0, 0]",2.6891524278482848e-06,0.0
155,5,Ackley,QPSO_Par,0.5391097068786621,142,[1.74510341e-11 1.72395438e-11],"[0, 0]",6.938094543329498e-11,0.0
156,6,Ackley,QPSO_Par,0.6268818378448486,167,[-4.29038425e-12 -3.02133656e-12],"[0, 0]",1.4843237750028493e-11,0.0
157,7,Ackley,QPSO_Par,0.4946255683898926,130,[-8.99143370e-11  4.18760076e-10],"[0, 0]",1.2114256264794676e-09,0.0
158,8,Ackley,QPSO_Par,0.5314822196960449,141,[9.12080543e-11 3.68830212e-11],"[0, 0]",2.7826985160572804e-10,0.0
159,9,Ackley,QPSO_Par,0.1934347152709961,50,[7.18703343e-05 6.27658259e-05],"[0, 0]",0.00027012974141982227,0.0
160,10,Ackley,QPSO_Par,0.5677187442779541,147,[ 9.51947308e-12 -6.06090312e-12],"[0, 0]",3.19175796903437e-11,0.0
161,11,Ackley,QPSO_Par,0.4641306400299072,120,[ 3.77305322e-08 -4.96921545e-08],"[0, 0]",1.7647453987024164e-07,0.0
162,12,Ackley,QPSO_Par,0.596229076385498,156,[-7.10771896e-11 -4.49105478e-11],"[0, 0]",2.3780444280419033e-10,0.0
163,13,Ackley,QPSO_Par,0.42981815338134766,112,[5.47501586e-07 8.30528091e-07],"[0, 0]",2.8136146568158438e-06,0.0
164,14,Ackley,QPSO_Par,0.5952489376068115,154,[ 1.26751472e-10 -3.74267430e-11],"[0, 0]",3.738094278560311e-10,0.0
165,15,Ackley,QPSO_Par,0.5261423587799072,137,[-2.53519487e-10 -1.68009476e-10],"[0, 0]",8.602292211890017e-10,0.0
166,16,Ackley,QPSO_Par,0.5816702842712402,149,[ 1.19176897e-11 -8.13358860e-12],"[0, 0]",4.0810022028381354e-11,0.0
167,17,Ackley,QPSO_Par,0.5549638271331787,145,[ 1.22543051e-11 -8.34731389e-12],"[0, 0]",4.193623226456111e-11,0.0
168,18,Ackley,QPSO_Par,0.20615267753601074,54,[-1.03361087e-04 -1.70402800e-05],"[0, 0]",0.00029658781961572345,0.0
169,19,Ackley,QPSO_Par,0.5381555557250977,142,[-7.04070001e-11  1.71464698e-11],"[0, 0]",2.049596048436797e-10,0.0
170,20,Ackley,QPSO_Par,0.5745477676391602,152,[-1.71602927e-11  8.72525688e-12],"[0, 0]",5.444888984129648e-11,0.0
171,21,Ackley,QPSO_Par,0.516035795211792,137,[ 3.72292067e-11 -5.04997024e-11],"[0, 0]",1.7745449554240622e-10,0.0
172,22,Ackley,QPSO_Par,0.6188476085662842,162,[ 1.62243736e-11 -3.32105472e-12],"[0, 0]",4.6838977141305804e-11,0.0
173,23,Ackley,QPSO_Par,0.573744535446167,151,[-1.11951894e-11 -8.32803797e-13],"[0, 0]",3.175415486111888e-11,0.0
174,24,Ackley,QPSO_Par,0.1882004737854004,49,[-8.28719800e-07 -2.49200175e-05],"[0, 0]",7.053997212835839e-05,0.0
175,25,Ackley,QPSO_Par,0.5477418899536133,143,[-1.45424975e-11  1.72713043e-11],"[0, 0]",6.38635810901178e-11,0.0
176,26,Ackley,QPSO_Par,0.5253496170043945,135,[9.05060577e-11 6.88404873e-11],"[0, 0]",3.2162361662813055e-10,0.0
177,27,Ackley,QPSO_Par,0.5531256198883057,145,[-1.92660009e-11  5.97552580e-11],"[0, 0]",1.7757884052116424e-10,0.0
178,28,Ackley,QPSO_Par,0.38727426528930664,100,[ 6.19686472e-07 -4.43439532e-07],"[0, 0]",2.155287962324337e-06,0.0
179,29,Ackley,QPSO_Par,0.2620363235473633,68,[-2.80320782e-06  7.45672795e-06],"[0, 0]",2.253358117343396e-05,0.0
180,30,Ackley,QPSO_Par,0.5924379825592041,156,[-1.66708022e-11  1.10122195e-10],"[0, 0]",3.150226746129192e-10,0.0
181,31,Ackley,QPSO_Par,0.4972858428955078,131,[-8.46191384e-11  1.03650650e-10],"[0, 0]",3.7845993006158096e-10,0.0
182,32,Ackley,QPSO_Par,0.590888500213623,152,[-1.72390456e-12 -2.12170163e-12],"[0, 0]",7.73070496506989e-12,0.0
183,33,Ackley,QPSO_Par,0.582331657409668,152,[-1.16282933e-10  4.04954098e-11],"[0, 0]",3.482689692191343e-10,0.0
184,34,Ackley,QPSO_Par,0.556096076965332,147,[-5.54395836e-12 -1.01554605e-11],"[0, 0]",3.2724045695431414e-11,0.0
185,35,Ackley,QPSO_Par,0.273892879486084,71,[-1.47558719e-06 -9.76662102e-07],"[0, 0]",5.005062025276175e-06,0.0
186,36,Ackley,QPSO_Par,0.45003795623779297,119,[-3.87469866e-08  2.85618502e-08],"[0, 0]",1.3615021998703014e-07,0.0
187,37,Ackley,QPSO_Par,0.5210399627685547,137,[9.06164891e-11 4.27600521e-10],"[0, 0]",1.2362946222310711e-09,0.0
188,38,Ackley,QPSO_Par,0.6782360076904297,178,[1.41340949e-11 1.74700397e-11],"[0, 0]",6.356160042741976e-11,0.0
189,39,Ackley,QPSO_Par,0.5574219226837158,148,[-1.38126211e-10  9.34607268e-11],"[0, 0]",4.717080059890577e-10,0.0
190,40,Ackley,QPSO_Par,0.16165876388549805,43,[ 4.40063288e-06 -4.47484855e-05],"[0, 0]",0.00012723221648869298,0.0
191,41,Ackley,QPSO_Par,0.21778011322021484,57,[-2.03442349e-05 -3.26476246e-05],"[0, 0]",0.00010884217136464258,0.0
192,42,Ackley,QPSO_Par,0.5706901550292969,150,[-3.67969933e-12 -1.41783479e-11],"[0, 0]",4.143174692217144e-11,0.0
193,43,Ackley,QPSO_Par,0.5223872661590576,136,[ 6.91378256e-11 -5.45745012e-11],"[0, 0]",2.4913404672588513e-10,0.0
194,44,Ackley,QPSO_Par,0.5367190837860107,142,[ 2.51246155e-11 -9.66598899e-11],"[0, 0]",2.8247981731510663e-10,0.0
195,45,Ackley,QPSO_Par,0.3594362735748291,95,[-1.22663203e-07  1.81041553e-07],"[0, 0]",6.185305316819267e-07,0.0
196,46,Ackley,QPSO_Par,0.15284228324890137,40,[ 1.1988573e-04 -6.6410433e-05],"[0, 0]",0.0003881384834514279,0.0
197,47,Ackley,QPSO_Par,0.41274452209472656,109,[1.32625944e-07 1.39751244e-07],"[0, 0]",5.449417272984647e-07,0.0
198,48,Ackley,QPSO_Par,0.5591320991516113,148,[ 1.42136899e-10 -1.33464374e-10],"[0, 0]",5.514735335054866e-10,0.0
